topic,term,weight
-1,jokowi,0.027237395166215168
-1,mining,0.0255773276799426
-1,indonesia,0.02546479398168855
-1,government,0.0207725800901581
-1,percent,0.019866501160509524
-1,coal,0.019568798497383244
-1,president,0.017555396923892904
-1,also,0.017288874868238754
-1,minister,0.01639119521032157
-1,political,0.016307116006484344
0,coal,0.07876035890982865
0,million,0.06029507302132151
0,year,0.04882942275297609
0,percent,0.04661419713241529
0,company,0.035771138589463354
0,prices,0.03102510032680842
0,tons,0.029641891615881658
0,resources,0.02800938894727796
0,sales,0.02289286158132705
0,billion,0.022182579471476994
1,smelter,0.07281148934234123
1,copper,0.07272564247672463
1,gold,0.03595161047450511
1,gresik,0.0349839662745971
1,export,0.030231956613340834
1,company,0.03003907781631826
1,mining,0.028343183902893726
1,browser,0.02804558920432006
1,indonesia,0.02794765194359907
1,government,0.02791841174498746
2,mining,0.05858725840372434
2,government,0.0574993741887122
2,divestment,0.0419815160404576
2,indonesia,0.04000708173054614
2,contract,0.0394271032819322
2,permit,0.034535202500644326
2,iupk,0.030926549013691716
2,copper,0.030546900192436385
2,deal,0.030096890545756223
2,extension,0.029165935213441473
3,nickel,0.07432270964520406
3,indonesia,0.0422536365614502
3,sulawesi,0.028016225249057294
3,tesla,0.02559213940706862
3,production,0.022131660020260523
3,browser,0.020879628171058616
3,electric,0.020525327893080602
3,company,0.019920658560395165
3,huayou,0.0198145965079478
3,mining,0.01909888196180353
4,mining,0.06303057069127325
4,illegal,0.026688121326057176
4,nu,0.026489128896773934
4,nuclear,0.026489128896773934
4,religious,0.02638804711523731
4,found,0.02572519263647031
4,concessions,0.023505354369833743
4,mine,0.022215963281717804
4,browser,0.02189371885895689
4,activities,0.02095942684732635
5,id,0.09616041097629136
5,indonesia,0.09295803576668132
5,mining,0.06662984231515329
5,stake,0.06563992392331898
5,percent,0.053916155475298294
5,company,0.051940447584046714
5,holding,0.04266669603011619
5,canada,0.04127554300422644
5,sumitomo,0.037276288945716246
5,nickel,0.036282310357324
6,police,0.06026900887591614
6,papua,0.04727619626653933
6,armed,0.037134117030493706
6,tni,0.03405425241025863
6,workers,0.033265105312617324
6,mimika,0.03312234229635199
6,protesters,0.03205106109200812
6,group,0.030248938621638636
6,regency,0.02940469148272403
6,tembagapura,0.028852381018129408
7,coal,0.08015203233176767
7,energy,0.05598816044687033
7,air,0.036004040200563366
7,percent,0.03544482823928079
7,indonesia,0.03377673888754985
7,products,0.030932011479214816
7,gasification,0.030340450198187433
7,fossil,0.028849326766350665
7,geothermal,0.027527016724926176
7,projects,0.02745041361523101
